object_number,priref,object_name-term,creator-name,creator.role,creator.qualifier,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,description,title,title-lang,record - Production - production.place - term,record - Dimension - dimension.type - linkdb,dimension.type-term,dimension.unit-term,dimension.value,dimension.part,dimension.notes,dimension.precision,record - institution.name - linkdb,institution.name-address,institution.name,technique-term,technique.part,technique.notes,production.date.notes,dimension.free
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,26.1,exclusief lijst,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,21.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,32.7,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,2.8,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,3.4,geheel,met oogvijs,,,,,,,,,
MMB.0192,365,schilderij,"Mignon, Abraham",painter,,1650,,1699,,,Druiventros in een nis,nl-NL,Utrecht [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,44.8,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,34.3,,,,,Antwerpen [plaats],,,,,,
MMB.0193,366,schilderij,"Peeters, Clara",painter,,1600,,1699,,"Pendant. Eertijds toegeschreven aan Jan Baptist, gecatalogiseerd 1904 als toegeschreven aan A. Mignon, en in 1933 als van een Vlaamse anonymus. Nieuwe toeschrijving van Mej. Hairs.",Bloemen in een vaasje met sprinkhaan en kikvors,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,26,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20.9,,,,,Antwerpen [plaats],,,,,,
MMB.0194,367,schilderij,"Peeters, Clara",painter,,1600,,1699,,"Pendant. Eertijds toegeschreven aan Jan Baptist, gecatalogiseerd 1904 als toegeschreven aan A. Mignon, en in 1933 als van een Vlaamse anonymus.",Bloemen in een vaasje met knabbelende muis,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,26,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20.9,,,,,Antwerpen [plaats],,,,,,
MMB.0152,718,miniatuur (schildering),"Coques, Gonzales",miniaturist,,1600,,1699,,"Heupstuk. Gecatalogiseerd 1904 en 1933 als kinderportret van James II van Engeland door G. Metsu. Deze identiteit en dit auteurschap werden reeds door Hofstede de Groot niet zonder voorbehoud aanvaard. Op het miniatuurtje staat een portret afgebeeld van een kleine jongen met halflang krullend bruin haar. In de mouwen zijn splitten verwerkt, een typisch kenmerk voor zeventiende- eeuwse kostuums, maar eveneens voor zestiende- eeuwse kostuums. Portretten werden vaak op miniatuurformaat afgebeeld. Er zijn doorgaans meer portretten in miniatuurformaat geschilderd van volwassen personen in tegenstelling tot kinderportretten. Van Gonzales Coques zijn nog andere kleine miniatuurschilderijtjes gekend, zoals het Portret van Lucas Faydherbe in de Koninklijke Musea voor Schone Kunsten te Brussel. (koper, 15,3 x 12 cm). (inv. nr. 3436).",Portret van een knaap,nl-NL,Antwerpen,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,89,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,70,,,,,Antwerpen [plaats],,,,,,
MMB.1048,749,tekening,anoniem,draftsman (artist),,1600,,1699,,"Halfliggende vrouw met negen naakte kinderen, waarvan zij er één zoogt, terwijl er drie op haar schoot aandringen. Gecatalogiseerd 1933 als van een onbestemde meester.",Abundantia,nl-NL,Frankrijk,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,232,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),getekend,,,,
,, Zeichnung,,tekenaar,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,200,,,,,Antwerpen [plaats],,gewassen,,,,
,, drawing,,,,,,,,,,,,,,,,,,,,,,,,,,
,, dessin,,,,,,,,,,,,,,,,,,,,,,,,,,
MMB.1055,755,tekening,anoniem,draftsman (artist),,1680,circa,1680,circa,"Ontwerp voor muurschildering. Gecatalogiseerd 1933 als van Jürgen Ovens. Onderwerp geïdentificeerd door J.J.M.Timmers, voor wie de tekenwijze naar Gerard Lairesse lijkt te wijzen (schrift.meded. 1958).",Allegorische voorstelling van de zomer,nl-NL,Nederland,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,350,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),getekend,,,,
,, Zeichnung,,tekenaar,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,612,,,,,Antwerpen [plaats],,gewassen,,,,
,, drawing,,,,,,,,,,,,,,,,,,,,,,opgehoogd,,,,
,, dessin,,,,,,,,,,,,,,,,,,,,,,,,,,
MMB.1059,757,tekening,"Bloemaert, Abraham",draftsman (artist),toegeschreven aan,1600,circa,1600,circa,"De krijgsman op de rug gezien. Gecatalogiseerd 1933 als van H.Goltius. Nieuwe toeschrijving van E.K.J.Reznicek die de tekening situeerd ca.1595, steunt op de nauwe iconografische verwantschap met een iets later ontstaan schilderij van Bloemaert in de verz.Ten Horn, Nijmegen, waarop een dergelijk type figuren voorkomt.",Krijgsman en jonge vaandrig,nl-NL,Utrecht,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,270,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),getekend,,,,
,, Zeichnung,,tekenaar,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,171,,,,,Antwerpen [plaats],,gewassen,,,,
,, drawing,,,,,,,,,,,,,,,,,,,,,,,,,,
,, dessin,,,,,,,,,,,,,,,,,,,,,,,,,,
MMB.0953.6-6,885,wandtapijt,onbekend,wever,,1640,,1650,,"Beide geliefden knielen, samen met Adamas, voor de Toverfontein van Amor. De liefdesgod draagt een tekstbord met het opschrift ""Celadon recoy le bonheur cherché"", en lauwert de geliefden . Rechts kijken de vriendinnen van Astrea toe.",Het herenigd paar bij de fontein der liefde,nl-NL,Brugge [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,279,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),legwerk,,5 à 6 kettingdraden/cm,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,464,geheel,,,,Antwerpen [plaats],,,,,,
MMB.1159,2100,fopglas,onbekend,,,1600,,1699,,,Fopglas,nl-NL,Duitsland [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,26,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,10,geheel,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
MPM.V.VI.01.002,149311,woodcut (print),"Bononiensis, Virgilius",draftsman (artist),,1565,,1565,,Twintig aan elkaar gekleefde ingekleurde houtsneden met een plan van Antwerpen gezien vanuit het oosten. Rechts onder bevindt zich een cartouche met een beschrijving van Antwerpen van de hand van Cornelius Grapheus.,"Map of Antwerp, viewed from the east.",en-US,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,1415,lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Plantin-Moretus (Antwerpen),houtsnede (drukprocédé),geheel,,signatuur,repro afmetingen: hoogte ca. 1m50 en breedte ca. 2m95
,, houtsnede (prent),"Bononiensis, Virgilius",tekenaar,,,,,,,Plan van Antwerpen,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,2750,lijst,,,,Antwerpen [plaats],,,,,,
,,,"Coppens van Diest, Gillis",printer (person),,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,thickness,mm,70,lijst,,,,,,,,,,
,,,"Coppens van Diest, Gillis",drukker,,,,,,,,,,,dikte,,,,,,,,,,,,,
